iter	Logloss
0	0.6400843452
1	0.5956439166
2	0.5587369671
3	0.5283068175
4	0.5025257178
5	0.4813942383
6	0.4629987339
7	0.447172028
8	0.433234221
9	0.4211073263
10	0.410607119
11	0.4011737038
12	0.3934563267
13	0.38681019
14	0.3798952427
15	0.3740828557
16	0.3689417069
17	0.3646703861
18	0.3602708693
19	0.3558533638
20	0.3517394898
21	0.3485290104
22	0.3453796677
23	0.3417320187
24	0.3388242627
25	0.3359515088
26	0.3333119464
27	0.3309703079
28	0.3288344892
29	0.3260491134
30	0.3238562011
31	0.3221981142
32	0.3200601647
33	0.3173877301
34	0.3156437839
35	0.3137370845
36	0.3120806932
37	0.3107113714
38	0.3073420216
39	0.3060072648
40	0.3041345759
41	0.3023761308
42	0.3007355616
43	0.2991724002
44	0.2980007231
45	0.2964779361
46	0.2944337447
47	0.2934533974
48	0.2923319314
49	0.291401243
50	0.2899945321
51	0.2890710771
52	0.2881025938
53	0.2870531263
54	0.2853519309
55	0.2842738598
56	0.2834332559
57	0.2827706192
58	0.2819843738
59	0.2812488585
60	0.2801448366
61	0.2795119066
62	0.2787894445
63	0.2780945815
64	0.2774490134
65	0.2761023731
66	0.2747168939
67	0.2736585092
68	0.273001618
69	0.272319531
70	0.2717424467
71	0.2710229839
72	0.2704621993
73	0.2689857809
74	0.2681845776
75	0.2673948076
76	0.266889219
77	0.265560969
78	0.264953873
79	0.2642133448
80	0.2637164363
81	0.2626083963
82	0.262263001
83	0.2612285498
84	0.2607559641
85	0.2601714726
86	0.2592575452
87	0.2585994377
88	0.2577272455
89	0.2568032441
90	0.2560348619
91	0.2556826491
92	0.2553265685
93	0.2545922578
94	0.2540812804
95	0.2532619518
96	0.252755506
97	0.2522903191
98	0.2519112165
99	0.2512255604
100	0.2505695039
101	0.2498526694
102	0.249007479
103	0.2484282385
104	0.2479089082
105	0.2475979982
106	0.2464557753
107	0.2461607807
108	0.2458304767
109	0.2455441148
110	0.2450153718
111	0.2444835627
112	0.2438281922
113	0.2435247653
114	0.2431945234
115	0.2427754037
116	0.2424175474
117	0.2419849359
118	0.2417101056
119	0.2412659485
120	0.2407759365
121	0.2405180415
122	0.2399869311
123	0.2394291267
124	0.2390189012
125	0.2387783306
126	0.238097124
127	0.2378341509
128	0.2374467932
129	0.2372101103
130	0.2367883079
131	0.2363622451
132	0.2360700493
133	0.2357675791
134	0.2354909477
135	0.2350267409
136	0.2344990925
137	0.2341626131
138	0.2338210914
139	0.2334923807
140	0.2331190601
141	0.2326954934
142	0.2324747567
143	0.2321347154
144	0.2319012897
145	0.231434609
146	0.2309015296
147	0.23069436
148	0.2303816875
149	0.2300657658
150	0.2296599167
151	0.2295158413
152	0.2293505037
153	0.2291654686
154	0.2288913758
155	0.2284665475
156	0.2282896687
157	0.227811999
158	0.227533385
159	0.2272658284
160	0.2271112268
161	0.2269078134
162	0.2266617856
163	0.2265044566
164	0.2261350261
165	0.2258667778
166	0.2255785639
167	0.2249308792
168	0.2245900388
169	0.2243772506
170	0.2241895558
171	0.2240284314
172	0.2237096039
173	0.2234776067
174	0.2229287141
175	0.2227084504
176	0.2223612023
177	0.2219991417
178	0.2216654709
179	0.2213749237
180	0.2212723627
181	0.2210470795
182	0.2208561513
183	0.2205113825
184	0.2202247471
185	0.2200157772
186	0.2197691689
187	0.2195182519
188	0.2193307845
189	0.2191466326
190	0.2188416232
191	0.2187038061
192	0.2185961968
193	0.2183204677
194	0.2180002245
195	0.2177694045
196	0.217473177
197	0.2172206317
198	0.217033304
199	0.2168527548
200	0.2166748986
201	0.2163695621
202	0.216224741
203	0.2160115193
204	0.2158097783
205	0.2154216129
206	0.2151357538
207	0.2148500573
208	0.2147245602
209	0.214515169
210	0.2143042601
211	0.2140718018
212	0.2139392271
213	0.2137617948
214	0.2135426359
215	0.2133309277
216	0.2131244019
217	0.2128496413
218	0.2126425918
219	0.2124586075
220	0.2121807413
221	0.2120055698
222	0.2118756066
223	0.2116894259
224	0.2115611821
225	0.2113586539
226	0.2111957423
227	0.2110070891
228	0.2108498399
229	0.210667223
230	0.2104182531
231	0.2102667357
232	0.2100860475
233	0.2099440292
234	0.2098148766
235	0.2095816269
236	0.2093593244
237	0.2092158912
238	0.2090044028
239	0.2087403967
240	0.2086213062
241	0.2084909681
242	0.2082985807
243	0.2080209831
244	0.2078836129
245	0.2077100091
246	0.2075796777
247	0.2075044552
248	0.2072954968
249	0.2071938976
250	0.2069910009
251	0.206897002
252	0.2067248771
253	0.2065780989
254	0.2062922389
255	0.2060908633
256	0.2060192126
257	0.2059295173
258	0.2057585787
259	0.2056197672
260	0.2055140017
261	0.2053482074
262	0.2052307375
263	0.2050493551
264	0.2048814192
265	0.2047217658
266	0.2046103182
267	0.2044818888
268	0.204240993
269	0.2041028544
270	0.2039623148
271	0.2038352622
272	0.203658676
