iter	Passed	Remaining
0	174	174075
1	219	109502
2	252	83773
3	267	66712
4	280	55913
5	294	48764
6	307	43681
7	321	39855
8	336	37022
9	350	34671
10	364	32745
11	378	31125
12	392	29832
13	406	28659
14	420	27616
15	434	26695
16	447	25887
17	461	25171
18	474	24499
19	490	24014
20	503	23475
21	517	22989
22	530	22547
23	543	22118
24	557	21746
25	571	21401
26	584	21061
27	597	20758
28	611	20474
29	627	20287
30	640	20028
31	655	19837
32	669	19623
33	683	19424
34	696	19205
35	709	19008
36	724	18844
37	737	18659
38	749	18461
39	764	18338
40	778	18217
41	793	18093
42	806	17946
43	819	17816
44	833	17686
45	847	17572
46	860	17449
47	873	17331
48	887	17224
49	901	17120
50	916	17058
51	929	16948
52	943	16856
53	956	16764
54	970	16671
55	984	16587
56	997	16507
57	1011	16424
58	1024	16346
59	1038	16272
60	1049	16162
61	1064	16103
62	1077	16032
63	1091	15961
64	1105	15895
65	1118	15833
66	1133	15786
67	1146	15718
68	1159	15651
69	1173	15595
70	1186	15530
71	1202	15498
72	1216	15445
73	1229	15383
74	1242	15324
75	1255	15268
76	1268	15208
77	1281	15153
78	1295	15101
79	1308	15045
80	1321	14995
81	1335	14954
82	1350	14922
83	1364	14874
84	1377	14832
85	1391	14792
86	1404	14742
87	1417	14695
88	1431	14652
89	1444	14603
90	1458	14564
91	1472	14533
92	1487	14503
93	1502	14477
94	1516	14442
95	1531	14417
96	1547	14408
97	1562	14379
98	1576	14343
99	1589	14302
100	1603	14271
101	1614	14216
102	1628	14183
103	1643	14156
104	1657	14126
105	1670	14088
106	1683	14052
107	1697	14018
108	1710	13980
109	1724	13950
110	1738	13920
111	1751	13885
112	1764	13851
113	1777	13816
114	1792	13797
115	1806	13763
116	1819	13730
117	1834	13711
118	1848	13685
119	1862	13659
120	1876	13628
121	1889	13597
122	1902	13567
123	1916	13539
124	1930	13510
125	1943	13482
126	1957	13455
127	1971	13427
128	1984	13400
129	1997	13368
130	2011	13340
131	2024	13309
132	2037	13282
133	2050	13254
134	2064	13226
135	2079	13213
136	2093	13190
137	2107	13164
138	2120	13133
139	2134	13114
140	2148	13086
141	2159	13049
142	2172	13021
143	2186	12994
144	2198	12966
145	2212	12943
146	2228	12932
147	2243	12916
148	2258	12897
149	2271	12872
150	2317	13031
151	2370	13223
152	2398	13280
153	2412	13252
154	2425	13221
155	2438	13191
156	2451	13165
157	2465	13138
158	2479	13114
159	2494	13094
160	2507	13066
161	2520	13037
162	2533	13008
163	2545	12978
164	2560	12958
165	2574	12933
166	2587	12906
167	2601	12882
168	2614	12854
169	2627	12827
170	2642	12810
171	2655	12784
172	2669	12762
173	2682	12735
174	2696	12711
175	2709	12686
176	2722	12660
177	2737	12639
178	2750	12617
179	2763	12590
180	2776	12563
181	2791	12547
182	2804	12522
183	2818	12499
184	2831	12474
185	2843	12446
186	2857	12421
187	2871	12401
188	2885	12380
189	2898	12357
190	2912	12335
191	2924	12308
192	2939	12289
193	2952	12267
194	2965	12244
195	2981	12229
196	2996	12215
197	3010	12195
198	3024	12173
199	3037	12149
200	3051	12128
201	3064	12105
202	3079	12090
203	3092	12068
204	3106	12046
205	3120	12026
206	3132	12002
207	3147	11983
208	3160	11961
209	3173	11939
210	3187	11920
211	3201	11900
212	3214	11876
213	3228	11857
214	3241	11836
215	3255	11815
216	3268	11795
217	3281	11772
218	3294	11750
219	3307	11727
220	3321	11709
221	3336	11691
222	3349	11669
223	3364	11656
224	3378	11635
225	3390	11612
226	3403	11591
227	3417	11570
228	3431	11553
229	3445	11533
230	3458	11514
231	3472	11493
232	3485	11474
233	3499	11454
234	3513	11438
235	3527	11419
236	3542	11403
237	3556	11385
238	3570	11368
239	3583	11347
240	3596	11327
241	3611	11311
242	3625	11293
243	3638	11273
244	3653	11258
245	3666	11239
246	3679	11216
247	3692	11195
248	3705	11176
249	3718	11155
250	3731	11136
251	3744	11114
252	3757	11093
253	3770	11073
254	3783	11054
255	3799	11041
256	3812	11022
257	3825	11002
258	3838	10983
259	3852	10964
260	3867	10949
261	3882	10935
262	3894	10914
263	3907	10894
264	3921	10877
265	3934	10857
266	3949	10842
267	3963	10825
268	3978	10812
269	3991	10793
270	4005	10775
271	4018	10756
272	4032	10737
273	4044	10716
274	4058	10698
275	4072	10683
276	4088	10671
277	4101	10653
278	4114	10634
279	4127	10613
280	4141	10595
281	4153	10576
282	4167	10558
283	4180	10540
284	4193	10521
285	4206	10501
286	4220	10485
287	4235	10470
288	4249	10454
289	4263	10439
290	4276	10420
291	4290	10402
292	4303	10385
293	4317	10367
294	4331	10351
295	4345	10334
296	4358	10317
297	4372	10300
298	4387	10285
299	4399	10265
300	4413	10249
301	4426	10231
302	4440	10215
303	4455	10200
304	4469	10183
305	4482	10166
306	4495	10147
307	4508	10130
308	4524	10118
309	4537	10099
310	4551	10082
311	4564	10064
312	4577	10047
313	4590	10029
314	4604	10012
315	4616	9993
316	4629	9975
317	4643	9957
318	4657	9941
319	4672	9928
320	4686	9913
321	4700	9896
322	4712	9877
323	4726	9862
324	4740	9844
325	4752	9826
326	4765	9807
327	4779	9791
328	4792	9774
329	4806	9759
330	4821	9744
331	4836	9730
332	4848	9712
333	4862	9696
334	4876	9680
335	4890	9663
336	4903	9647
337	4917	9631
338	4930	9614
339	4944	9597
340	4957	9581
341	4972	9566
342	4984	9548
343	4998	9531
344	5010	9512
345	5024	9496
346	5037	9480
347	5050	9462
348	5063	9444
349	5076	9428
350	5089	9410
351	5103	9395
352	5117	9380
353	5131	9363
354	5144	9347
355	5158	9331
356	5170	9313
357	5185	9299
358	5199	9283
359	5212	9266
360	5224	9248
361	5238	9232
362	5252	9216
363	5266	9202
364	5280	9187
365	5294	9171
366	5308	9156
367	5321	9138
368	5335	9123
369	5347	9105
370	5361	9089
371	5375	9074
372	5388	9057
373	5400	9039
374	5413	9023
375	5428	9008
376	5440	8991
377	5454	8974
378	5467	8959
379	5481	8944
380	5495	8927
381	5507	8910
382	5521	8894
383	5534	8878
384	5547	8862
385	5563	8849
386	5576	8833
387	5590	8817
388	5603	8800
389	5617	8787
390	5632	8772
391	5645	8756
392	5659	8740
393	5673	8725
394	5686	8709
395	5698	8691
396	5712	8677
397	5726	8661
398	5738	8643
399	5751	8626
400	5763	8610
401	5777	8594
402	5793	8582
403	5807	8568
404	5820	8551
405	5835	8537
406	5849	8522
407	5863	8508
408	5876	8491
409	5890	8476
410	5903	8460
411	5917	8445
412	5931	8430
413	5944	8414
414	5957	8397
415	5970	8382
416	5983	8365
417	5999	8352
418	6013	8338
419	6026	8322
420	6041	8308
421	6054	8292
422	6067	8276
423	6080	8260
424	6093	8244
425	6107	8229
426	6120	8213
427	6133	8197
428	6148	8183
429	6161	8167
430	6176	8154
431	6189	8138
432	6203	8122
433	6216	8107
434	6229	8091
435	6244	8077
436	6257	8062
437	6270	8045
438	6286	8033
439	6299	8017
440	6313	8002
441	6326	7987
442	6340	7972
443	6353	7956
444	6367	7941
445	6381	7927
446	6396	7912
447	6409	7897
448	6422	7881
449	6438	7869
450	6452	7854
451	6466	7839
452	6478	7823
453	6492	7807
454	6505	7792
455	6518	7776
456	6531	7760
457	6544	7745
458	6558	7729
459	6572	7715
460	6587	7701
461	6600	7686
462	6614	7671
463	6627	7656
464	6641	7640
465	6654	7625
466	6667	7610
467	6681	7594
468	6693	7578
469	6706	7562
470	6721	7549
471	6734	7533
472	6747	7518
473	6761	7502
474	6774	7487
475	6787	7472
476	6800	7456
477	6813	7440
478	6827	7425
479	6841	7411
480	6854	7396
481	6869	7382
482	6881	7366
483	6895	7351
484	6909	7337
485	6923	7322
486	6936	7307
487	6949	7291
488	6963	7276
489	6977	7262
490	6991	7247
491	7005	7233
492	7021	7220
493	7033	7204
494	7046	7188
495	7059	7173
496	7073	7158
497	7087	7144
498	7099	7128
499	7112	7112
500	7125	7097
501	7138	7081
502	7154	7069
503	7167	7053
504	7180	7038
505	7194	7023
506	7208	7009
507	7222	6994
508	7234	6978
509	7248	6964
510	7262	6949
511	7275	6933
512	7290	6920
513	7304	6906
514	7317	6891
515	7331	6876
516	7344	6861
517	7357	6846
518	7370	6830
519	7384	6816
520	7398	6801
521	7411	6786
522	7423	6770
523	7437	6756
524	7452	6742
525	7465	6727
526	7478	6712
527	7491	6697
528	7505	6682
529	7520	6669
530	7532	6653
531	7546	6638
532	7558	6622
533	7571	6607
534	7587	6595
535	7601	6580
536	7614	6565
537	7626	6549
538	7640	6534
539	7654	6520
540	7666	6504
541	7680	6490
542	7693	6474
543	7705	6459
544	7719	6444
545	7734	6431
546	7747	6416
547	7761	6401
548	7774	6386
